SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13489840,16907212,15,Paid Search,52,Generic,E8595F06-9BF6-4EE5-B8D7-31645A3ADCBE,ppc_google_ec_generic_generic_new_mpe,23,1
13489843,16907214,12,Online Partners,20,Job Board,8BA39A23-4D72-420D-B870-7A7ACCEA4399,ClassesUSAOnlineCampaign,5345,1
13489844,16907215,15,Paid Search,28,Head Terms,0C22F183-2722-4EC4-A837-B569230A9638,ppc_google_el_headterm_MPE,8714,1
13489845,16907218,15,Paid Search,24,Degree,C3A08FC0-214F-420D-AFBC-8C5753F04301,ppc_google_ec_degree_cna_new_CM_mpe,5345,1
13489848,16907222,15,Paid Search,169,General New Kaplan Allow,4B43882A-CAB1-4C34-A5CC-D979CC7301F9,ppc_google_ec_generic_general_new_certificate_mpe,2,1
13489856,16907229,15,Paid Search,24,Degree,8F58D38E-0C57-4646-B51F-B05D0F1F68FE,ppc_google_ec_degree_police_loantest_eta_mpe,8195,1
13489878,16907255,15,Paid Search,28,Head Terms,61FC0C2A-33E6-439A-9B7F-1C4119B6936A,ppc_google_ec_generic_ht2011_main_mpe_s4,8657,1
13489880,16907257,12,Online Partners,20,Job Board,32197DCF-18D3-4014-9B78-8271071BCF6C,Quin Online Partners,5345,1
13489883,16907265,5,Traditional Display,222,MediaAlpha,B8D12110-2F77-4AEB-8C71-929CA0295F2E,display_ec_mediaalpha_USA_TY_liberal_mpe,8195,1
13489889,16907271,20,Clicks,168,Clicks,0E9CA843-2F38-4D8C-A053-74BED855AA8D,post.degree.today_CDN,8680,1
13489917,16907295,5,Traditional Display,225,Quinst Premier,58137491-D15D-4D0A-AA04-1091C071EA53,display_ec_quinst_business_tier1_mpe,8568,1
13489923,16907305,15,Paid Search,44,FinancialAidV2,5EE0751C-1843-480E-AADB-35334AA47A42,ppc_google_ec_momgrants_mpe,23,1
